species,x,y
estast,-8.12527,39.2058
estast,-8.04193,39.2058
estast,-7.9586,39.2058
estast,-7.87527,39.2058
estast,-7.79193,39.2058
estast,-7.4586,39.2058
estast,-7.29193,39.2058
estast,-5.62527,39.2058
estast,-9.37527,39.1225
estast,-9.29193,39.1225
estast,-9.2086,39.1225
estast,-9.12527,39.1225
estast,-9.04193,39.1225
estast,-8.9586,39.1225
estast,-8.87527,39.1225
estast,-8.79193,39.1225
estast,-8.7086,39.1225
estast,-8.62527,39.1225
estast,-8.4586,39.1225
estast,-8.37527,39.1225
estast,-8.2086,39.1225
estast,-8.12527,39.1225
estast,-8.04193,39.1225
estast,-7.9586,39.1225
estast,-7.87527,39.1225
estast,-7.54193,39.1225
estast,-7.4586,39.1225
estast,-5.79193,39.1225
estast,-5.7086,39.1225
estast,-5.62527,39.1225
estast,-5.54193,39.1225
estast,-5.4586,39.1225
estast,-5.37527,39.1225
estast,-5.2086,39.1225
estast,-5.12527,39.1225
estast,-0.291933,39.1225
estast,-9.37527,39.0391
estast,-9.29193,39.0391
estast,-9.2086,39.0391
estast,-9.12527,39.0391
estast,-9.04193,39.0391
estast,-8.9586,39.0391
estast,-8.87527,39.0391
estast,-8.79193,39.0391
estast,-8.7086,39.0391
estast,-8.54193,39.0391
estast,-8.4586,39.0391
estast,-8.37527,39.0391
estast,-8.29193,39.0391
estast,-8.2086,39.0391
estast,-8.12527,39.0391
estast,-8.04193,39.0391
estast,-7.9586,39.0391
estast,-7.87527,39.0391
estast,-7.79193,39.0391
estast,-7.62527,39.0391
estast,-7.54193,39.0391
estast,-7.4586,39.0391
estast,-7.29193,39.0391
estast,-7.2086,39.0391
estast,-7.12527,39.0391
estast,-7.04193,39.0391
estast,-6.7086,39.0391
estast,-6.29193,39.0391
estast,-6.04193,39.0391
estast,-5.9586,39.0391
estast,-5.79193,39.0391
estast,-5.7086,39.0391
estast,-5.62527,39.0391
estast,-5.4586,39.0391
estast,-5.37527,39.0391
estast,-4.87527,39.0391
estast,-0.208599,39.0391
estast,-9.37527,38.9558
estast,-9.29193,38.9558
estast,-9.2086,38.9558
estast,-9.12527,38.9558
estast,-9.04193,38.9558
estast,-8.9586,38.9558
estast,-8.87527,38.9558
estast,-8.79193,38.9558
estast,-8.7086,38.9558
estast,-8.62527,38.9558
estast,-8.54193,38.9558
estast,-8.4586,38.9558
estast,-8.37527,38.9558
estast,-8.29193,38.9558
estast,-8.2086,38.9558
estast,-8.12527,38.9558
estast,-8.04193,38.9558
estast,-7.9586,38.9558
estast,-7.87527,38.9558
estast,-7.79193,38.9558
estast,-7.7086,38.9558
estast,-7.54193,38.9558
estast,-7.29193,38.9558
estast,-7.12527,38.9558
estast,-7.04193,38.9558
estast,-6.9586,38.9558
estast,-6.87527,38.9558
estast,-6.62527,38.9558
estast,-6.54193,38.9558
estast,-6.37527,38.9558
estast,-6.12527,38.9558
estast,-5.9586,38.9558
estast,-5.87527,38.9558
estast,-5.79193,38.9558
estast,-5.7086,38.9558
estast,-5.62527,38.9558
estast,-0.208599,38.9558
estast,-9.37527,38.8725
estast,-9.29193,38.8725
estast,-9.2086,38.8725
estast,-9.12527,38.8725
estast,-9.04193,38.8725
estast,-8.9586,38.8725
estast,-8.87527,38.8725
estast,-8.79193,38.8725
estast,-8.7086,38.8725
estast,-8.54193,38.8725
estast,-8.4586,38.8725
estast,-8.37527,38.8725
estast,-8.29193,38.8725
estast,-8.2086,38.8725
estast,-8.12527,38.8725
estast,-8.04193,38.8725
estast,-7.9586,38.8725
estast,-7.54193,38.8725
estast,-7.4586,38.8725
estast,-7.37527,38.8725
estast,-7.12527,38.8725
estast,-7.04193,38.8725
estast,-6.9586,38.8725
estast,-6.87527,38.8725
estast,-6.79193,38.8725
estast,-6.62527,38.8725
estast,-6.37527,38.8725
estast,-6.2086,38.8725
estast,-5.62527,38.8725
estast,-5.54193,38.8725
estast,-0.125266,38.8725
estast,-0.0419328,38.8725
estast,-9.4586,38.7891
estast,-9.37527,38.7891
estast,-9.29193,38.7891
estast,-9.2086,38.7891
estast,-9.12527,38.7891
estast,-8.87527,38.7891
estast,-8.79193,38.7891
estast,-8.7086,38.7891
estast,-8.62527,38.7891
estast,-8.54193,38.7891
